Date,Discharge
2021-05-27,157
2021-05-28,156
2021-05-29,156
2021-05-30,155
2021-05-31,153
2021-06-01,154
2021-06-02,155
2021-06-03,161
2021-06-04,167
2021-06-05,173
2021-06-06,175
2021-06-07,180
2021-06-08,181
2021-06-09,181
2021-06-10,182
2021-06-11,180
2021-06-12,178
2021-06-13,177
2021-06-14,175
2021-06-15,175
2021-06-16,174
2021-06-17,174
2021-06-18,174
2021-06-19,172
2021-06-20,171
2021-06-21,169
2021-06-22,169
2021-06-23,168
2021-06-24,168
2021-06-25,167
2021-06-26,165
2021-06-27,164
2021-06-28,166
2021-06-29,168
2021-06-30,167
2021-07-01,170
2021-07-02,169
2021-07-03,168
2021-07-04,167
2021-07-05,166
2021-07-06,166
2021-07-07,166
2021-07-08,168
2021-07-09,168
2021-07-10,169
2021-07-11,169
2021-07-12,169
2021-07-13,169
2021-07-14,169
2021-07-15,169
2021-07-16,169
2021-07-17,169
2021-07-18,169
2021-07-19,169
2021-07-20,169
2021-07-21,170
2021-07-22,171
2021-07-23,172
2021-07-24,170
2021-07-25,169
2021-07-26,167
2021-07-27,166
2021-07-28,166
2021-07-29,166
2021-07-30,166
2021-07-31,165
2021-08-01,164
2021-08-02,166
2021-08-03,163
2021-08-04,164
2021-08-05,166
2021-08-06,166
2021-08-07,165
2021-08-08,165
2021-08-09,162
2021-08-10,160
2021-08-11,162
2021-08-12,162
2021-08-13,163
2021-08-14,162
2021-08-15,161
2021-08-16,160
2021-08-17,159
2021-08-18,159
2021-08-19,160
2021-08-20,161
2021-08-21,160
2021-08-22,159
2021-08-23,157
2021-08-24,156
2021-08-25,156
2021-08-26,156
2021-08-27,155
2021-08-28,154
2021-08-29,154
2021-08-30,153
2021-08-31,152
2021-09-01,152
2021-09-02,154
2021-09-03,155
2021-09-04,156
2021-09-05,156
2021-09-06,154
2021-09-07,153
2021-09-08,150
2021-09-09,150
2021-09-10,151
2021-09-11,151
2021-09-12,149
2021-09-13,148
2021-09-14,147
2021-09-15,146
2021-09-16,147
2021-09-17,147
2021-09-18,146
2021-09-19,146
2021-09-20,144
2021-09-21,142
2021-09-22,142
2021-09-23,142
2021-09-24,141
2021-09-25,140
2021-09-26,140
2021-09-27,139
2021-09-28,138
2021-09-29,138
2021-09-30,131
2021-10-01,136
2021-10-02,136
2021-10-03,135
2021-10-04,134
2021-10-05,134
2021-10-06,133
2021-10-07,133
2021-10-08,135
2021-10-09,137
2021-10-10,137
2021-10-11,137
2021-10-12,137
2021-10-13,160
2021-10-14,169
2021-10-15,178
2021-10-16,188
2021-10-17,197
2021-10-18,208
2021-10-19,219
2021-10-20,220
2021-10-21,220
2021-10-22,220
2021-10-23,220
2021-10-24,220
2021-10-25,218
2021-10-26,216
2021-10-27,216
2021-10-28,216
2021-10-29,213
2021-10-30,212
2021-10-31,211
2021-11-01,210
2021-11-02,209
2021-11-03,209
2021-11-04,209
2021-11-05,209
2021-11-06,208
2021-11-07,208
2021-11-08,207
2021-11-09,207
2021-11-10,208
2021-11-11,208
2021-11-12,208
2021-11-13,209
2021-11-14,210
2021-11-15,210
2021-11-16,210
2021-11-17,210
2021-11-18,209
2021-11-19,209
2021-11-20,210
2021-11-21,208
2021-11-22,207
2021-11-23,205
2021-11-24,199
2021-11-25,198
2021-11-26,197
2021-11-27,196
2021-11-28,195
2021-11-29,192
2021-11-30,188
2021-12-01,185
2021-12-02,182
2021-12-03,179
2021-12-04,177
2021-12-05,174
2021-12-06,172
2021-12-07,171
2021-12-08,170
2021-12-09,168
2021-12-10,167
2021-12-11,166
2021-12-12,165
2021-12-13,168
2021-12-14,172
2021-12-15,171
2021-12-16,173
2021-12-17,173
2021-12-18,178
